10,4,336134480
14,5,336134480
12,4,-1677131221
18,6,-1677721070
16,6,-1675689451
14,7,-1677065688
22,6,-1677196758
28,10,-1677524463
26,11,-1677590000
16,7,-1677262291
23,10,-1675754988
25,10,-1675820521
20,6,-1676017128
20,8,-1676344801
24,8,-1675951591
12,5,-1675886058
15,5,-1676410338
18,8,-1676148198
14,7,-1676082661
26,9,-1676279268
25,9,-1677327828
17,8,-1677655533
12,6,-1676213731
20,7,-1676541440
23,9,-1676475903
22,8,-1677458898
26,8,1651855452
22,10,-1676606973
18,9,-1673592108
21,9,-1677393394
